,imdbid,title,year,imdb_rating,estimated budget,world gross,id,year_y,bechdel_rating
406,0029947,Bringing Up Baby,1938,7.8,"$1,073,000 (estimated)","$11,180",3400.0,1938.0,3.0
411,0032138,The Wizard of Oz,1939,8.1,"$2,777,000 (estimated)","$25,637,669",174.0,1939.0,3.0
412,0031381,Gone with the Wind,1939,8.2,"$3,977,000 (estimated)","$402,382,193",291.0,1939.0,3.0
413,0031235,Dodge City,1939,7.1,"$3,977,000 (estimated)","$402,382,193",383.0,1939.0,2.0
414,0032143,The Women,1939,7.7,"$1,688,000 (estimated)","$16,161",588.0,1939.0,3.0
415,0031971,Stagecoach,1939,7.8,"$1,688,000 (estimated)","$16,161",593.0,1939.0,3.0
418,0031725,Ninotchka,1939,7.8,"$1,365,000 (estimated)","$1,204",1259.0,1939.0,3.0
423,0031507,Jesse James,1939,7.0,"$1,600,000 (estimated)","$3,444",1383.0,1939.0,2.0
424,0031252,Drums Along the Mohawk,1939,7.0,"$2,000,000 (estimated)","$10,360",1384.0,1939.0,2.0
425,0031981,The Story of Alexander Graham Bell,1939,7.0,"$2,000,000 (estimated)","$10,360",1385.0,1939.0,2.0
432,0031885,The Rules of the Game,1939,7.9,"FRF 5,500,500 (estimated)","$273,641",3089.0,1939.0,3.0
433,0031066,Babes in Arms,1939,6.3,"FRF 5,500,500 (estimated)","$273,641",3723.0,1939.0,3.0
434,0031225,Destry Rides Again,1939,7.6,"FRF 5,500,500 (estimated)","$273,641",5634.0,1939.0,3.0
437,0031679,Mr. Smith Goes to Washington,1939,8.1,"$1,900,000 (estimated)","$144,738",5946.0,1939.0,2.0
441,0032910,Pinocchio,1940,7.5,"$2,600,000 (estimated)","$121,892,045",478.0,1940.0,1.0
442,0032976,Rebecca,1940,8.1,"$1,288,000 (estimated)","$72,275",618.0,1940.0,3.0
456,0032553,The Great Dictator,1940,8.4,"$2,000,000 (estimated)","$970,263",3470.0,1940.0,3.0
461,0032904,The Philadelphia Story,1940,7.9,"$944,000 (estimated)","$411,663",4943.0,1940.0,3.0
462,0032455,Fantasia,1940,7.7,"$2,280,000 (estimated)","$76,411,819",5039.0,1940.0,0.0
466,0032484,Foreign Correspondent,1940,7.4,"$1,500,000 (estimated)",$623,7311.0,1940.0,1.0
467,0033045,The Shop Around the Corner,1940,8.0,"$1,500,000 (estimated)",$623,7861.0,1940.0,3.0
471,0033870,The Maltese Falcon,1941,8.0,"$375,000 (estimated)","$34,691",1230.0,1941.0,1.0
472,0033467,Citizen Kane,1941,8.3,"$839,727 (estimated)","$1,645,944",1266.0,1941.0,1.0
473,0033563,Dumbo,1941,7.2,"$950,000 (estimated)","$3,731",1117.0,1941.0,2.0
479,0034398,The Wolf Man,1941,7.2,"$180,000 (estimated)",$420,2436.0,1941.0,2.0
486,0034240,Sullivan's Travels,1941,7.9,"$689,665 (estimated)","$10,249",4359.0,1941.0,3.0
497,0034583,Casablanca,1942,8.5,"$950,000 (estimated)","$4,626,532",1076.0,1942.0,1.0
498,0035015,The Magnificent Ambersons,1942,7.6,"$950,000 (estimated)","$4,626,532",1289.0,1942.0,2.0
525,0036112,The Life and Death of Colonel Blimp,1943,8.0,"£188,812 (estimated)","$30,129",3839.0,1943.0,2.0
542,0036775,Double Indemnity,1944,8.3,"$927,262 (estimated)","$14,651",1416.0,1944.0,3.0
544,0037059,Meet Me in St. Louis,1944,7.5,"$1,700,000 (estimated)","$500,385",1676.0,1944.0,3.0
548,0037008,Laura,1944,7.9,"$1,020,000 (estimated)",$151,2715.0,1944.0,3.0
561,0037913,Mildred Pierce,1945,7.9,"$1,453,000 (estimated)","$10,128",794.0,1945.0,3.0
562,0037800,I Know Where I'm Going!,1945,7.4,"$1,453,000 (estimated)","$10,128",1213.0,1945.0,3.0
563,0038924,The Seventh Veil,1945,6.7,"$1,453,000 (estimated)","$10,128",1280.0,1945.0,3.0
564,0037558,Brief Encounter,1945,8.0,"£170,000 (estimated)","$87,103",1544.0,1945.0,3.0
570,0037638,Detour,1945,7.3,"$30,000 (estimated)","$16,172",3999.0,1945.0,1.0
571,0038109,Spellbound,1945,7.5,"$1,696,377 (estimated)","$19,000",4252.0,1945.0,3.0
572,0038890,"Rome, Open City",1945,8.0,"$1,696,377 (estimated)","$19,000",4428.0,1945.0,3.0
573,0038057,Scarlet Street,1945,7.8,"$1,696,377 (estimated)","$19,000",5081.0,1945.0,3.0
586,0038787,Notorious,1946,7.9,"$2,000,000 (estimated)","$113,061",622.0,1946.0,2.0
587,0038589,The Harvey Girls,1946,7.0,"$2,000,000 (estimated)","$113,061",786.0,1946.0,3.0
588,0038355,The Big Sleep,1946,7.9,"$250,000 (estimated)","$47,912",971.0,1946.0,1.0
589,0038854,The Postman Always Rings Twice,1946,7.4,"$250,000 (estimated)","$47,912",1424.0,1946.0,1.0
590,0038733,Stairway to Heaven,1946,8.0,"£320,000 (estimated)","$124,241",1231.0,1946.0,0.0
595,0038650,It's a Wonderful Life,1946,8.6,"$3,180,000 (estimated)","$8,574,081",2235.0,1946.0,3.0
596,0038661,The Jolson Story,1946,7.2,"$3,180,000 (estimated)","$8,574,081",2654.0,1946.0,1.0
