,title,id,year,rating,imdbid
0,Passage de Venus,9602,1874,0,3155794
1,La Rosace Magique,9804,1877,0,14495706
2,Sallie Gardner at a Gallop,9603,1878,0,2221420
3,Le singe musicien,9806,1878,0,12592084
4,Athlete Swinging a Pick,9816,1881,0,7816420
5,Buffalo Running,9831,1883,0,5459794
6,L&#39;homme machine,9832,1885,0,8588366
7,Man Walking Around the Corner,9614,1887,0,2075247
8,Cockatoo Flying,9836,1887,0,8133192
9,Child Carrying Flowers to Woman,9837,1887,0,7411790
10,Jumping Over a Man&#39;s Back-Leapfrog,9838,1887,0,7541160
11,Man Riding Jumping Horse,9841,1887,0,7754902
12,Baboon Climbing a Pole,9902,1887,0,8361552
13,Roundhay Garden Scene,8040,1888,0,392728
14,Accordion Player,9615,1888,0,1758563
15,Traffic Crossing Leeds Bridge,9616,1888,0,343112
16,Pferd und Reiter Springen uber ein Hindernis,9675,1888,0,3274100
17,Brighton Street Scene,9947,1888,0,2116853
18,"Leisurely Pedestrians, Open Topped Buses and Hansom Cabs with Trotting Horses",9619,1889,0,466876
19,Hyde Park Corner,9945,1889,0,2116898
20,"Monkeyshines, No. 1",9617,1890,0,361921
21,"Monkeyshines, No. 2",9618,1890,0,416046
22,London&#39;s Trafalgar Square,9621,1890,0,1202028
23,"Monkeyshines, No. 3",9678,1890,0,416047
24,Mosquinha,9946,1890,0,5285442
25,"Traffic in King&#39;s Road, Chelsea",9944,1890,0,2116968
26,Dickson Greeting,9626,1891,0,241373
27,Men Boxing,9628,1891,0,241715
28,Newark Athlete,9629,1891,0,241763
29,"Duncan and Another, Blacksmith Shop",9792,1891,0,241393
30,Duncan Smoking,9793,1891,0,241392
31,Duncan or Devonald with Muslin Cloud,9794,1891,0,241394
32,"Monkey and Another, Boxing",9795,1891,0,241735
33,Je vous aime,9800,1891,0,3201916
34,La vague,9802,1891,0,3508566
35,Two Fencers,9943,1891,0,5447082
36,Pauvre Pierrot,5433,1892,0,3
37,Un bon bock,9631,1892,0,4
38,Le clown et ses chiens,9632,1892,0,2
39,Fencing,9951,1892,0,241446
40,Le prince de Galles,9952,1892,0,234520
41,Wrestling,9948,1892,0,242148
42,Boxing,9986,1892,0,241266
43,Blacksmith Scene,9583,1893,0,5
44,Annabelle Butterfly Dance,9636,1894,0,229217
45,Edison Kinetoscope Records: Annie Oakley,9642,1894,0,8419312
46,Autour d&#39;une cabine,9646,1894,0,15
47,"Barbershop, The",9648,1894,0,229235
48,Bucking Broncho,9649,1894,0,309396
49,Buffalo Dance,9650,1894,0,309402
50,Carmencita,9651,1894,0,1
51,Edison Kinetoscopic Record of a Sneeze,9652,1894,0,8
52,Dickson Experimental Sound Film,9654,1894,0,177707
53,Chinese Opium Den,9655,1894,0,6
54,Corbett and Courtney Before the Kinetograph,9656,1894,0,7
55,Falling Cat,9662,1894,0,2049440
56,"Glenroy Bros., No. 2",9663,1894,0,312728
57,Glenroy Brothers,9664,1894,0,256782
58,Leonard-Cushing Fight,9668,1894,0,203646
59,"Luis Martinetti, Contortionist",9671,1894,0,277115
60,Sandow No. 2,9673,1894,0,2161519
61,Sandow No. 3,9674,1894,0,2161521
62,Reve au coin du feu,9681,1894,0,413219
63,Miss Jerry,9779,1894,0,9
64,Tables Turned on the Gardener,5444,1895,0,14
65,"Execution of Mary, Queen of Scots, The",6200,1895,0,132134
66,Akrobatisches Potpourri,9679,1895,1,11
67,Annabelle Serpentine Dance,9683,1895,0,154152
68,Italienischer Bauerntanz,9714,1895,0,17
69,Baby&#39;s Dinner,9715,1895,1,29
70,Billy Edwards and the Unknown,9766,1895,0,477266
71,Blacksmith Scene,9767,1895,0,22
72,Barque sortant du port,9787,1895,0,16
73,"House of the Devil, The",4982,1896,0,91
74,Une nuit terrible,5406,1896,0,131
75,La fee aux choux,5445,1896,0,223341
76,"Arrival of a Train, The",6199,1896,0,12
77,Sandow,9672,1896,0,1428455
78,Alger: rue Bab-Azoun,9949,1896,0,1672718
79,Lassage des boeufs pour le labour,9950,1896,0,1736599
80,Lancement d&#39;un navire,9901,1896,0,222137
81,Bataille de neige,9328,1897,0,41
82,Four Heads Are Better Than One,4978,1898,0,135696
83,"Astronomer&#39;s Dream; or, The Man in the Moon, The",5410,1898,0,211
84,"Temptation of St. Anthony, The",5411,1898,0,224240
85,A Turn of the Century Illusionist,4994,1899,0,246
86,Cinderella,5914,1899,3,230
87,Sherlock Holmes Baffled,1594,1900,0,291476
88,"Enchanted Drawing, The",4271,1900,0,300
89,Grandma&#39;s Reading Glass,4343,1900,0,304
90,As Seen Through A Telescope (a.k.a The Professor and His Field Glass),4344,1900,0,272
91,Explosion of a Motor Car (a.k.a The Dlights of Automobiling),4345,1900,0,257654
92,Hamlet ( Le Duel d&#39;Hamlet),4346,1900,0,306
93,"One-Man Band, The",4993,1900,0,135453
94,Grandma Threading Her Needle,5069,1900,0,377995
95,"Searching Ruins on Broadway, Galveston, for Dead Bodies",5072,1900,0,230746
96,Let Me Dream Again,5438,1900,0,313
97,"Doctor and the Monkey, The",5446,1900,0,227438
98,L&#39;homme a la tete en caoutchouc,4995,1901,0,359
99,Reve et realite,5437,1901,0,258104
100,Bluebeard,5500,1901,0,131934
101,Le voyage dans la lune,1252,1902,0,417
102,Gulliver&#39;s Travels,5431,1902,0,229024
103,"Twentieth Century Tramp; or, Happy Hooligan and His Airship, The",5432,1902,0,367177
104,Mephistopheles&#39; School of Magic,5443,1902,0,413
105,"Great Train Robbery, The",1319,1903,0,439
106,"Infernal Boiling Pot, The",5002,1903,0,135180
107,"Music Lover, The",5063,1903,0,455
108,"Monster, The",5064,1903,0,223755
109,"Enchanted Well, The",5683,1903,0,189498
110,"Cook in Trouble, The",5224,1904,0,215664
111,"Living Playing Cards, The",5404,1904,0,135179
112,"Untamable Whiskers, The",5601,1904,0,135631
113,Le voyage a travers l&#39;impossible,6135,1904,0,499
114,"Scheming Gambler&#39;s Paradise, The",5003,1905,0,135690
115,"Black Imp, The",5602,1905,0,215575
116,"Story of the Kelly Gang, The",1349,1906,1,574
117,"Mysterious Retort, The",5024,1906,0,216016
118,Humorous Phases of Funny Faces,5435,1906,0,554
119,"Hilarious Posters, The",5603,1906,0,135122
120,"400 Tricks of the Devil, The",5684,1906,0,567
121,A Funny Shave,6206,1906,0,449172
122,"Consequence of Feminism, The",7215,1906,0,1260944
123,"Eclipse: Courtship of the Sun and Moon, The",5223,1907,0,215737
124,Good Glue Sticks,5615,1907,0,215817
125,Unusual Cooking,6231,1908,0,1802750
126,"Princess Nicotine; or, The Smoke Fairy",4409,1909,2,1009
127,"Devilish Tenant, The",5635,1909,0,127948
128,Le barometre de la fidelite,6211,1909,1,277596
129,Tilly the Tomboy Visits the Poor,1464,1910,3,232821
130,Mobilier fidele,4983,1910,0,486978
131,A Trip to Mars,5685,1910,0,1515725
132,Cleopatra,2003,1912,2,2101
133,"Invaders, The",2005,1912,0,2281
134,Max and the Donkey,5357,1912,0,277865
135,"Voyage of the Bourrichon Family, The",5364,1913,0,3512
136,Suspense,5915,1913,0,3424
137,A Florida Enchantment,4457,1914,2,3973
138,"Birth of a Nation, The",1258,1915,2,4972
139,Gretchen the Greenhorn,2008,1916,3,6745
140,Lady Windermere&#39;s Fan,2014,1916,3,279914
141,"Vagabond, The",5368,1916,0,7507
142,Intolerance: Love&#39;s Struggle Throughout the Ages,5944,1916,0,6864
143,Snow White,7004,1916,3,7361
144,A Tale of Two Cities,1981,1917,3,8652
145,Rebecca of Sunnybrook Farm,1993,1917,3,8499
146,"Poor Little Rich Girl, The",1994,1917,3,8443
147,A Romance of the Redwoods,2015,1917,0,8519
148,"Raffles, the Amateur Cracksman",2019,1917,2,8489
149,Tarzan of the Apes,1996,1918,3,9682
150,Stella Maris,2007,1918,3,9652
151,Are Crooks Dishonest?,5441,1918,0,8844
152,Ich mochte kein Mann sein,7108,1918,3,10281
153,When the Clouds Roll by,2018,1919,3,10879
154,Broken Blossoms or The Yellow Man and the Girl,2588,1919,0,9968
155,"Cabinet of Dr. Caligari, The",1306,1920,0,10323
156,Pollyanna,1991,1920,3,11588
157,Within Our Gates,5948,1920,3,11870
158,Orphans of the Storm,1263,1921,3,12532
159,"Kid, The",3945,1921,0,12349
160,"Blot, The",4204,1921,3,11979
161,K&ouml;rkarlen (The Phantom Carriage),5898,1921,2,12364
162,"Nosferatu, eine Symphonie des Grauens",1307,1922,2,13442
163,"Phantom, The",1631,1922,2,13496
164,Nathan der Weise,1778,1922,2,13428
165,"Man from Beyond, The",2001,1922,1,13367
166,H&auml;xan: Witchcraft Through the Ages,3800,1922,3,13257
167,"Paleface, The",5361,1922,0,12543
168,Nanook of the North,5901,1922,1,13427
169,Foolish Wives,5958,1922,3,13140
170,"Dr. Mabuse, der Spieler - Ein Bild der Zeit",5967,1922,3,13086
171,Safety Last!,1961,1923,0,14429
172,Why Worry?,1967,1923,0,14611
173,"Silent Command, The",1998,1923,2,14469
174,La souriante Madame Beudet,5888,1923,3,13626
175,Our Hospitality,5949,1923,0,14341
176,A Woman of Paris,8947,1923,2,14624
177,Die Nibelungen,1337,1924,2,15175
178,Kriemhild&#39;s Revenge,1338,1924,2,15174
179,"Thief of Bagdad, The",1264,1924,0,15400
180,Wild Oranges,1960,1924,0,15498
181,"Navigator, The",2009,1924,0,15163
182,Sherlock Jr.,2011,1924,0,15324
183,Girl Shy,2016,1924,0,14945
184,Manhandled,2020,1924,3,15116
185,"Great White Silence, The",2413,1924,0,1764657
186,Help!,6209,1924,0,13845
187,Greed,8458,1924,3,15881
188,"Phantom of the Opera, The",1305,1925,2,16220
189,Battleship Potemkin,1308,1925,0,15648
190,"Gold Rush, The",1309,1925,0,15864
191,Go West,1978,1925,0,15863
192,"Freshman, The",2012,1925,0,15841
193,Seven Chances,3077,1925,0,16332
194,"Lost World, The",5514,1925,2,16039
195,"Big Parade, The",5962,1925,2,15624
196,Stachka,5991,1925,0,15361
197,"Temptress, The",1334,1926,1,17449
198,Flesh and the Devil,1260,1926,1,16884
199,"General, The",1310,1926,0,17925
200,For Heaven&#39;s Sake,1966,1926,0,16895
201,So&#39;s Your Old Man,3217,1926,3,17410
202,Die Abenteuer des Prinzen Achmed,5974,1926,1,15532
203,It,1227,1927,3,18033
204,Metropolis,1267,1927,1,17136
205,Abel Gance&#39;s Napoleon,1312,1927,2,18192
206,"Unknown, The",1311,1927,0,18528
207,Sunrise: A Song of Two Humans,1632,1927,2,18455
208,"Kid Brother, The",1964,1927,0,18051
209,Nevada,1982,1927,0,18199
210,My Best Girl,2010,1927,3,18183
211,Wings,3118,1927,1,18578
212,"Jazz Singer, The",5975,1927,1,18037
213,Downhill [When Boys Leave Home],7324,1927,1,17825
214,"Passion of Joan of Arc, The",1314,1928,0,19254
215,Speedy,1963,1928,0,19412
216,"Circus, The",1968,1928,0,18773
217,"Cameraman, The",1970,1928,0,18742
218,"Steamboat Bill, Jr.",1971,1928,0,19421
219,"Racket, The",1972,1928,0,19304
220,Beggars of Life,1977,1928,0,18684
221,"Power of the Press, The",1979,1928,1,19290
222,A Girl in Every Port,1980,1928,0,18937
223,"Patsy, The",2013,1928,3,19258
224,While the City Sleeps,2017,1928,2,19571
225,"Man Who Laughs, The",2021,1928,2,19130
226,"Crowd, The",5912,1928,1,18806
227,"Docks of New York, The",5984,1928,2,18839
228,Our Dancing Daughters,9314,1928,2,19237
229,Un chien andalou,1313,1929,0,20530
230,"Cocoanuts, The",1953,1929,2,19777
231,Welcome Danger,1962,1929,0,20572
232,Pandora&#39;s Box (Die B&uuml;chse der Pandora),2324,1929,3,18737
233,Man with a Movie Camera,3897,1929,0,19760
234,Blackmail,5979,1929,2,19702
235,Throw of the Dice,6046,1929,0,20286
236,Juno and the Paycock [The Shame of Mary Boyle],7287,1929,3,21015
237,Broadway Melody,8464,1929,3,19729
238,"Blue Angel, The",1315,1930,1,20697
239,All Quiet on the Western Front,1316,1930,0,20629
240,Anna Christie,1326,1930,3,20641
241,Ladies of Leisure,3713,1930,3,21040
242,L&#39;Age d&#39;Or,3871,1930,0,21577
243,Morocco,3865,1930,1,21156
244,Min and Bill,3927,1930,3,21148
245,Be Yourself,4253,1930,2,20670
246,"Bat Whispers, The",6782,1930,3,20668
247,Murder!,7291,1930,3,21165
248,Animal Crackers,8463,1930,3,20640
249,M,610,1931,3,22100
250,M&auml;dchen in Uniform,628,1931,3,22183
251,Night Nurse,636,1931,3,22208
252,Frankenstein,1317,1931,1,21884
253,Anna Christie,1327,1931,3,20642
254,Mata Hari,1333,1931,3,23196
255,Tabu: A Story of the South Seas,1633,1931,0,22458
256,Indiscreet,1828,1931,3,22000
257,"Last Flight, The",1956,1931,0,22054
258,Pardon Us,1974,1931,0,22251
259,Dracula,1985,1931,2,21814
260,Monkey Business,2384,1931,1,22158
261,City Lights,2705,1931,3,21749
262,"Smiling Lieutenant, The",4243,1931,2,22074
263,"Cheat, The",5741,1931,3,21735
264,"Public Enemy, The",5934,1931,3,22286
265,La Chienne,6030,1931,3,21739
266,A Nous la Liberte,6031,1931,1,22599
267,Little Caesar,6043,1931,1,21079
268,"Skin Game, The",7294,1931,3,22395
269,Rich and Strange [East of Shanghai],7296,1931,2,23395
270,Dracula,8213,1931,3,21815
271,Cimarron,8467,1931,3,21746
272,Hyppolit a lakaj,8557,1931,1,21985
273,Skippy,9095,1931,3,22397
274,"Champ, The",9110,1931,1,21730
275,I Am a Fugitive from a Chain Gang,1318,1932,1,23042
276,Grand Hotel,1328,1932,3,22958
277,"Age of Consent, The",1983,1932,2,22614
278,Horse Feathers,2383,1932,1,23027
279,White Zombie,2550,1932,0,23694
280,Boudu Saved from Drowning,2767,1932,1,22718
281,"I Was Born, But...",3530,1932,1,23634
282,"Most Dangerous Game, The",3658,1932,0,23238
283,Freaks,3659,1932,2,22913
284,Island of Lost Souls,3844,1932,1,24188
285,"Old Dark House, The",4775,1932,3,23293
286,Merrily We Go to Hell,5742,1932,3,23213
287,"Girl from Calgary, The",5783,1932,2,22940
288,Vampyr,5910,1932,3,23649
289,Shanghai Express,5929,1932,3,23458
290,Three on a Match,6051,1932,3,23590
291,Love Me Tonight,6052,1932,2,23158
292,Scarface,6063,1932,1,23427
293,Red-Headed Woman,6092,1932,3,23385
294,"Death Kiss, The",6176,1932,1,23935
295,Thirteen Women,6852,1932,3,23582
296,"Blue Light (Das Blaue Licht), The",6990,1932,1,22694
297,Number 17,7301,1932,0,23285
298,"Bitter Tea of General Yen, The",10705,1932,3,23814
299,Footlight Parade,802,1933,3,24028
300,Queen Christina,1330,1933,3,24481
301,"Private Life of Henry VIII., The",1248,1933,1,24473
302,King Kong,2229,1933,0,24216
303,Little Women,2231,1933,3,24264
304,Alice in Wonderland,3188,1933,3,23753
305,"Vampire Bat, The",3210,1933,3,24727
306,42nd Street,4335,1933,3,24034
307,Day of Reckoning,5029,1933,3,23932
308,Duck Soup,5185,1933,1,23969
309,Tomorrow at Seven,5752,1933,3,24679
310,Gold Diggers of 1933,5916,1933,3,24069
311,Female,6056,1933,3,24008
312,A Study in Scarlet,6193,1933,3,24625
313,"Peanut Vendor, The",6205,1933,0,24432
314,"Invisible Man, The",7450,1933,1,24184
315,Baby Face,7528,1933,3,23775
316,Design for Living,8346,1933,1,23940
317,Cavalcade,8477,1933,3,23876
318,"Kennel Murder Case, The",10492,1933,1,24210
319,She Done Him Wrong,10702,1933,2,24548
320,Sons of the Desert,10714,1933,3,24601
321,It Happened One Night,621,1934,3,25316
322,"Cat&#39;s-Paw, The",1324,1934,1,24961
323,"Scarlet Empress, The",1325,1934,3,25746
324,"Painted Veil, The",1329,1934,1,25617
325,"Count of Monte Cristo, The",1246,1934,1,25004
326,Cleopatra,1270,1934,1,24991
327,Of Human Bondage,1379,1934,1,25586
328,L&#39;atalante,1795,1934,0,24844
329,"Lost Patrol, The",1969,1934,0,25423
330,Spitfire,4443,1934,3,25822
331,Maniac,4702,1934,3,25465
332,Anne of Green Gables,5319,1934,3,24831
333,Lost in the Stratosphere,5523,1934,2,25424
334,Search for Beauty,5821,1934,3,25755
335,Evelyn Prentice,6772,1934,3,25091
336,"Man Who Knew Too Much, The",7304,1934,3,25452
337,Imitation of Life,7999,1934,3,25301
338,Mystery Liner,8653,1934,0,25543
339,Top Hat,595,1935,2,27125
340,"39 Steps, The",1242,1935,3,26029
341,Anna Karenina,1261,1935,2,26071
342,Mutiny on the Bounty,1361,1935,1,26752
343,Naughty Marietta,1685,1935,3,26768
344,Roberta,2362,1935,3,26942
345,Magnificent Obsession,2756,1935,3,26667
346,A Night At The Opera,3881,1935,1,26778
347,"Bride of Frankenstein, The",3891,1935,3,26138
348,"Lady in Scarlet, The",5750,1935,2,26599
349,"Riverside Murder, The",5913,1935,2,26939
350,Mad Love,7998,1935,2,26663
351,Swing Time,596,1936,1,28333
352,Modern Times,1323,1936,0,27977
353,"Charge of the Light Brigade, The",1237,1936,1,27438
354,San Francisco,1359,1936,1,28216
355,Wife vs. Secretary,1360,1936,2,28505
356,"Petrified Forest, The",1369,1936,3,28096
357,Mr. Deeds Goes to Town,1992,1936,3,27996
358,Born to Dance,2363,1936,3,27387
359,Revolt of the Zombies,2554,1936,0,28174
360,Earthworm Tractors,2699,1936,1,27562
361,Osaka Elegy,2853,1936,3,28021
362,Theodora Goes Wild,3280,1936,3,28355
363,"Great Ziegfeld, The",3401,1936,3,27698
364,"Mandarin Mystery, The",3548,1936,3,29207
365,"Only Son, The",3560,1936,3,27752
366,Camille,3598,1936,3,28683
367,Pennies from Heaven,4010,1936,3,28092
368,Romeo and Juliet,4069,1936,3,28203
369,Bullets or Ballots,4143,1936,3,27407
370,My Man Godfrey,5852,1936,2,28010
371,Sabotage,5926,1936,3,28212
372,Fury,6096,1936,2,27652
373,Murder at Glen Athol,6174,1936,3,28000
374,Il caso Valdemar,6210,1936,0,3427056
375,These Three,7227,1936,2,28356
376,Secret Agent,7308,1936,3,28231
377,Dracula&#39;s Daughter,7992,1936,3,27545
378,Shall We Dance,597,1937,1,29546
379,Stage Door,631,1937,3,29604
380,Stella Dallas,795,1937,3,29608
381,Conquest,1332,1937,2,28739
382,Topper,1335,1937,2,29682
383,Lost Horizon,1336,1937,2,29162
384,"Prisoner of Zenda, The",1240,1937,1,29442
385,Knight Without Armor,1244,1937,2,29087
386,Parnell,1358,1937,2,29377
387,Snow White and the Seven Dwarfs,1976,1937,3,29583
388,A Day at the Races,2382,1937,2,28772
389,Nothing Sacred,3968,1937,0,29322
390,Make Way for Tomorrow,4255,1937,3,29192
391,Murder at the Baskervilles (Silver Blaze),5617,1937,1,29565
392,Pepe le Moko,5740,1937,2,29453
393,"Awful Truth, The",6554,1937,3,28597
394,"Girl Was Young, The",7317,1937,3,29811
395,Marked Woman,7877,1937,3,29217
396,"Bizarre, Bizarre",8473,1937,3,27552
397,"Life of Emile Zola, The",8478,1937,1,29146
398,Wee Willie Winkie,10352,1937,3,29751
399,Carefree,594,1938,2,29971
400,"Lady Vanishes, The",620,1938,3,30341
401,Holiday,994,1938,3,30241
402,"Dawn Patrol, The",1238,1938,0,30044
403,Jezebel,1367,1938,2,30287
404,"Sisters, The",1378,1938,2,30755
405,Boys Town,2467,1938,0,29942
406,"Mr. Wong, Detective",2590,1938,1,30473
407,"Adventures of Robin Hood, The",3103,1938,2,29843
408,Bluebeard&#39;s Eighth Wife,3283,1938,2,29929
409,Bringing Up Baby,3400,1938,3,29947
410,Four Daughters,3951,1938,3,30149
411,"Mad Miss Manton, The",4495,1938,3,30396
412,"Baker&#39;s Wife, The",6042,1938,1,30127
413,Angels with Dirty Faces,7290,1938,1,29870
414,"Wizard of Oz, The",174,1939,3,32138
415,Gone with the Wind,291,1939,3,31381
416,Dodge City,383,1939,2,31235
417,"Women, The",588,1939,3,32143
418,Stagecoach,593,1939,3,31971
419,Wuthering Heights,1239,1939,2,32145
420,"Goodbye, Mr. Chips",1245,1939,2,31385
421,Ninotchka,1259,1939,3,31725
422,Juarez,1368,1939,2,31516
423,Dark Victory,1370,1939,3,31210
424,Essex and Elizabeth,1371,1939,2,31826
425,Young Mr. Lincoln,1382,1939,2,32155
426,Jesse James,1383,1939,2,31507
427,Drums Along the Mohawk,1384,1939,2,31252
428,"Story of Alexander Graham Bell, The",1385,1939,2,31981
429,"Flying Deuces, The",1973,1939,0,31322
430,"Hunchback of Notre Dame, The",2086,1939,0,31455
431,At the Circus,2372,1939,2,31060
432,"Gorilla, The",2555,1939,3,31387
433,Mr. Wong in Chinatown,2622,1939,1,31680
434,Of Mice and Men,2851,1939,1,31742
435,"Rules of the Game, The",3089,1939,3,31885
436,Babes in Arms,3723,1939,3,31066
437,Destry Rides Again,5634,1939,3,31225
438,Nancy Drew... Reporter,5763,1939,3,31709
439,"Adventures of Sherlock Holmes, The",5863,1939,3,31022
440,Mr. Smith Goes to Washington,5946,1939,2,31679
441,Jamaica Inn,7322,1939,3,31505
442,Le jour se l&egrave;ve,8098,1939,2,31514
443,Gulliver&#39;s Travels,8511,1939,0,31397
444,Love Affair,9038,1939,3,31593
445,Pinocchio,478,1940,1,32910
446,Rebecca,618,1940,3,32976
447,"Thief of Bagdad, The",1265,1940,0,33152
448,"Mortal Storm, The",1501,1940,3,32811
449,Comrade X,1355,1940,2,32349
450,Boom Town,1356,1940,1,32273
451,Strange Cargo,1357,1940,0,33105
452,"Return of Frank James, The",1366,1940,0,32983
453,"All This, and Heaven Too",1373,1940,2,32194
454,"Letter, The",1380,1940,2,32701
455,"Grapes of Wrath, The",1387,1940,3,32551
456,A Chump at Oxford,1975,1940,0,32339
457,"Ape, The",2556,1940,3,32215
458,Santa Fe Trail,2678,1940,1,33021
459,His Girl Friday,3033,1940,3,32599
460,"Sea Hawk, The",3050,1940,3,33028
461,"Great Dictator, The",3470,1940,3,32553
462,Pride and Prejudice,4257,1940,3,32943
463,Primrose Path,4354,1940,3,32946
464,Chamber of Horrors / Door with the Seven Locks,4363,1940,2,32406
465,"Dance, Girl, Dance",4415,1940,3,32376
466,"Philadelphia Story, The",4943,1940,3,32904
467,Fantasia,5039,1940,0,32455
468,Anne Of Windy Poplars,5320,1940,3,32211
469,Gaslight,5773,1940,3,31359
470,"Last Alarm, The",5802,1940,3,32690
471,Foreign Correspondent,7311,1940,1,32484
472,"Shop Around the Corner, The",7861,1940,3,33045
473,Knute Rockne All American,8480,1940,1,32676
474,Two-Faced Woman,1331,1941,2,34328
475,"Shanghai Gesture, The",1512,1941,3,34175
476,"Maltese Falcon, The",1230,1941,1,33870
477,Citizen Kane,1266,1941,1,33467
478,Dumbo,1117,1941,2,33563
479,"Little Foxes, The",1372,1941,2,33836
480,"Lady Eve, The",1386,1941,2,33804
481,"Devil and Miss Jones, The",1682,1941,3,33533
482,Mr. Bug Goes to Town,1941,1941,1,33727
483,High Sierra,2410,1941,1,33717
484,"Wolf Man, The",2436,1941,2,34398
485,Cheers for Miss Bishop,2446,1941,3,33459
486,Men of Boys Town,2468,1941,1,33902
487,49th Parallel,2867,1941,0,33627
488,Buck Privates,2906,1941,3,33436
489,Hold That Ghost,2910,1941,3,33723
490,Meet John Doe,3717,1941,3,33891
491,Sullivan&#39;s Travels,4359,1941,3,34240
492,Murder by Invitation,6171,1941,3,33928
493,Ladies In Retirement,6318,1941,1,33802
494,Suspicion,7329,1941,3,34248
495,Sun valley serenade,8625,1941,0,34241
496,How Green Was My Valley,8983,1941,3,33729
497,"Reluctant Dragon, The",9025,1941,3,34091
498,King of the Zombies,9192,1941,3,33787
499,Ball of Fire,10347,1941,2,33373
500,"Major and the Minor, The",681,1942,3,35019
501,"Now, Voyager",689,1942,3,35140
502,Casablanca,1076,1942,1,34583
503,"Magnificent Ambersons, The",1289,1942,2,35015
504,Bambi,1116,1942,1,34492
505,Son of Fury: The Story of Benjamin Blake,1388,1942,1,35360
506,For Me and My Gal,1675,1942,3,34746
507,I Married an Angel,1686,1942,3,34882
508,Cat People,2708,1942,3,34587
509,Black Dragons,3518,1942,0,34521
510,There Was a Father,3789,1942,0,34591
511,Tales of Manhattan,3875,1942,2,35415
512,"Man Who Came to Dinner, The",4475,1942,3,33874
513,Woman of the Year,4870,1942,3,35567
514,To Be or Not to Be,5303,1942,0,35446
515,Sherlock Holmes and the Secret Weapon,5859,1942,1,35317
516,Saboteur,5938,1942,1,35279
517,Saboteur,5939,1942,1,35279
518,Mrs. Miniver,6384,1942,3,35093
519,Saludos Amigos,7696,1942,0,36326
520,"Corpse Vanishes, The",7697,1942,1,34613
521,"Gay Sisters, The",10343,1942,3,34770
522,Old Acquaintance,1374,1943,3,36230
523,Watch on the Rhine,1375,1943,3,36515
524,Girl Crazy,1691,1943,1,35942
525,I Walked with a Zombie,1955,1943,3,36027
526,"Sky&#39;s the Limit, The",1959,1943,1,36363
527,Sahara,1987,1943,0,36323
528,Guadalcanal Diary,1988,1943,0,35957
529,Tender Comrade,2407,1943,3,36418
530,Day of Wrath,3753,1943,3,36506
531,"Life and Death of Colonel Blimp, The",3839,1943,2,36112
532,Le Corbeau: The Raven,3890,1943,3,35753
533,Shadow of a Doubt,4617,1943,3,36342
534,Judo Saga (Sanshiro Sugata),4699,1943,0,36400
535,Cry &#39;Havoc&#39;,5209,1943,3,35770
536,Fires Were Started,5554,1943,0,35881
537,"Ox-Bow Incident, The",6310,1943,1,36244
538,So Proudly We Hail!,6315,1943,3,36367
539,Jane Eyre,6781,1943,3,36969
540,"More the Merrier, The",7410,1943,1,36172
541,La main du diable,7475,1943,1,35017
542,Angels of Sin,7834,1943,3,35636
543,"Seventh Victim, The",8090,1943,3,36341
544,China,8501,1943,3,35735
545,Ossessione,8801,1943,1,35160
546,Millions Like Us,10283,1943,3,36160
547,Arsenic and Old Lace,201,1944,3,36613
548,Double Indemnity,1416,1944,3,36775
549,Mr. Skeffington,1376,1944,2,37094
550,Meet Me in St. Louis,1676,1944,3,37059
551,Hail the Conquering Hero,1683,1944,2,36891
552,Torment,2045,1944,0,36914
553,Window in the Window,2181,1944,1,37469
554,Laura,2715,1944,3,37008
555,Cover Girl,3134,1944,3,36723
556,Since You Went Away,3154,1944,3,37280
557,To Have and Have Not,3245,1944,3,37382
558,I&#39;ll Be Seeing You,3279,1944,3,36940
559,National Velvet,4222,1944,3,37120
560,"Most Beautiful (Ichiban utsukushiku), The",4698,1944,3,36947
561,Lifeboat,5983,1944,3,37017
562,"Three Caballeros, The",6319,1944,0,38166
563,Minstrel Man,6420,1944,1,37076
564,A Canterbury Tale,6515,1944,3,36695
565,"Uninvited, The",9270,1944,3,37415
566,Die Feuerzangenbowle,9718,1944,1,36818
567,Mildred Pierce,794,1945,3,37913
568,I Know Where I&#39;m Going,1213,1945,3,37800
569,"Seventh Veil, The",1280,1945,3,38924
570,Brief Encounter,1544,1945,3,37558
571,Along Came Jones,1639,1945,0,37508
572,Isle of the Dead,2004,1945,3,37820
573,"Enchanted Cottage, The",2434,1945,3,37671
574,"Objective, Burma!",3271,1945,0,37954
575,"Lost Weekend, The",3583,1945,2,37884
576,Detour,3999,1945,1,37638
577,Spellbound,4252,1945,3,38109
578,"Rome, Open City",4428,1945,3,38890
579,Scarlet Street,5081,1945,3,38057
580,Children of Paradise,5129,1945,2,37674
581,Keep Your Powder Dry,5677,1945,3,37843
582,"Woman in Green, The",5856,1945,3,38259
583,Anchors Aweigh,6017,1945,0,37514
584,Thin Man Goes Home,6848,1945,2,37365
585,"Red Dragon, The",6945,1945,1,38017
586,Dead of Night,7185,1945,3,37635
587,Les dames du Bois de Boulogne,7835,1945,3,37630
588,"Wicked Lady, The",9005,1945,3,38250
589,Leave Her to Heaven,10235,1945,3,37865
590,"Corn Is Green, The",10345,1945,3,37614
591,"Bells of St Mary&#39;s, The",10666,1945,3,37536
592,Notorious,622,1946,2,38787
